Avaliacao;alunos;nota
ava1;201894;10,0
ava1;932;9,0
ava1;90;1,0
ava1;87;2,0
ava1;876;9,0
ava1;12;7,0
ava1;812;4,9
ava2;201894;10,0
ava2;932;8,0
ava2;90;10,0
ava2;87;10,0
ava2;876;9,0
ava2;12;7,5
ava2;812;9,2
ava3;87;6,8
ava3;90;6,4
1;3249;1,0
1;98;2,2
1;451;3,7
1;1231;9,1
1;893;3,2
1;453;2,3
1;765;5,5
2;3249;1,4
2;98;2,9
2;451;3,0
2;1231;9,3
2;893;3,7
2;453;2,9
2;765;1,9
3;3249;7,0
3;98;9,0
3;451;5,7
3;893;3,0
3;453;2,7
3;765;5,0
2903;839;9,8
2903;239;7,7
2903;12;10,0
2903;1231;6,0
2903;341;5,0
12349;341;10,0
12349;1231;6,0
1000;347,348,451,124,123;6,5
5;123;9,0
5;124;8,0
5;451;2,0
5;348;5,0
5;347;7,0
