Disciplina;Código;Avaliação;Data;Média
ART0544;LGraf-P;Prova Parcial;15/04/2016;8,75
ART0544;LGraf-T;Trabalho Prático;21/05/2016;9,00
ART0968;Foto-T1;Trabalho Prático Fotográfico;15/06/2016;9,00
ART0968;Foto-T2;Trabalho Prático Fotográfico;15/07/2016;9,15
FIS06326;PFE-P1;Prova Parcial 01;30/04/2016;6,75
FIS06326;PFE-P2;Prova Parcial 02;01/06/2016;8,45
FIS06326;PFE-P3;Prova Parcial 03;15/07/2016;4,25
MAT06579;PAL-P1;Prova Parcial 01;25/04/2016;5,59
MAT06579;PAL-P2;Prova Parcial 02;26/05/2016;4,63
MAT06579;PAL-P3;Prova Parcial 03;10/07/2016;5,07
