Avaliação;Aluno(s);Nota
Fis2-P1;2012829179;6,3	   
Fis2-P1;2012728372;7,0	
Fis2-P1;2013836493;5,2     	
Fis2-P1;2012648392;9,0	
Fis2-P1;2012348791;8,1	
Fis2-P1;2012387494;10,0	
Fis2-P1;2012492387;9,5	
Fis2-P1;2013398418;9,3	
Fis2-P1;2013394709;7,1	
Fis2-P1;2012039280;7,0	
Fis2-P1;2013498300;1,0     	
Fis2-P1;2012409888;0,0     	
Fis2-P1;2013403888;8,4	
Fis2-P2;2012829179;4,5	   
Fis2-P2;2012728372;8,5	
Fis2-P2;2013836493;3,8	   
Fis2-P2;2012648392;7,9	
Fis2-P2;2012348791;9,8	
Fis2-P2;2012387494;9,7	
Fis2-P2;2012492387;9,6	
Fis2-P2;2013398418;8,1	
Fis2-P2;2013394709;8,2	
Fis2-P2;2012039280;7,3	
Fis2-P2;2013498300;4,2	    
Fis2-P2;2012409888;0,0	    
Fis2-P2;2013403888;9,1	
Fis2-P3;2012829179;5,0	    
Fis2-P3;2012728372;6,3	
Fis2-P3;2013836493;0,0	    
Fis2-P3;2012648392;10,0	
Fis2-P3;2012348791;9,3	
Fis2-P3;2012387494;9,9	
Fis2-P3;2012492387;7,6	
Fis2-P3;2013398418;7,4	
Fis2-P3;2013394709;7,2	
Fis2-P3;2012039280;7,8	
Fis2-P3;2013498300;0,5      	
Fis2-P3;2012409888;0,0	    
Fis2-P3;2013403888;9,6	
CM-P1;2013742931;9,0
CM-P1;2013298470;0,0        
CM-P1;2012039280;8,0
CM-P1;2013098410;8,9
CM-P1;2012083490;9,8
CM-P1;2013498300;10,0
CM-P1;2012409888;9,0
CM-P1;2012930200;8,6
CM-P1;2013938477;7,7	
CM-P1;2013403888;7,8
CM-P1;2012387494;1,0       
CM-P1;2012492387;3,3	    
CM-T1;2013742931, 2013298470;10,0		
CM-T1;2012039280, 2013098410;10,0		
CM-T1;2012083490, 2013498300;9,0		
CM-T1;2012409888, 2012930200;7,8		
CM-T1;2013938477, 2013403888;8,9		
CM-T1;2012387494, 2012492387;0,0		
CM-T2;2013742931, 2013298470;5,0		
CM-T2;2012039280, 2013098410;7,6		
CM-T2;2012083490, 2013498300;7,9		
CM-T2;2012409888, 2012930200;8,7		
CM-T2;2013938477, 2013403888;7,4		
CM-T2;2012387494, 2012492387;3,5		
TGA-P1;2012657488;4,5		                     
TGA-P1;2013420398;5,6	                             
TGA-P1;2012123456;3,5		                     
TGA-P1;2012123457;2,7		                     
TGA-P1;2012123450;9,3		
TGA-P1;2013098888;7,4		
TGA-P1;2012090909;9,1		
TGA-P1;2013898998;8,2		
TGA-P1;2013787878;4,1		
TGA-T1;2012657488, 2013420398;5,1		
TGA-T1;2012123456, 2012123457;6,2		
TGA-T1;2012123450, 2013098888;7,4		
TGA-T1;2012090909, 2013898998;7,5		
TGA-T1;2013787878;0,0		
FFT-P1;2012343434;6,0                        		
FFT-P1;2013888888;6,0	                     
FFT-P1;2013000001;4,5	                     
FFT-P1;2013333334;8,7
FFT-P1;2013111111;8,8	
FFT-P1;2013717171;7,8	
FFT-P1;2013977729;10,0	
FFT-P1;2013948881;7,8
FFT-P1;2013777775;7,0
FFT-P1;2012222225;8,0
FFT-P1;2013000000;8,8
FFT-P1;2012098765;7,9
FFT-P1;2012102938;8,9
FFT-P1;2012666023;7,5
FFT-P1;2013010203;7,5
FFT-T1;2012343434, 2013888888, 2013000001;0,0 	
FFT-T1;2013333334, 2013111111, 2013717171;10,0	
FFT-T1;2013977729, 2013948881, 2013777775;10,0	
FFT-T1;2012222225, 2013000000, 2012098765;7,0
FFT-T1;2012102938, 2012666023, 2013010203;7,5	
FFT-P2;2012343434;4,1
FFT-P2;2013888888;5,0
FFT-P2;2013000001;5,3
FFT-P2;2013333334;8,7
FFT-P2;2013111111;8,8
FFT-P2;2013717171;9,0
FFT-P2;2013977729;9,0
FFT-P2;2013948881;9,7
FFT-P2;2013777775;8,0
FFT-P2;2012222225;7,7
FFT-P2;2013000000;7,6
FFT-P2;2012098765;7,4
FFT-P2;2012102938;8,9
FFT-P2;2012666023;9,2
FFT-P2;2013010203;9,5
Fis2-PF;2012409888;9,0
Fis2-PF;2013836493;0,0
Fis2-PF;2013498300;0,0
Fis2-PF;2012829179;6,5
CM-PF;2013298470;7,2
CM-PF;2012387494;10,0
CM-PF;2012492387;2,5
TGA-PF;2013787878;10,0
TGA-PF;2012657488;7,9
TGA-PF;2013420398;5,3
TGA-PF;2012123456;5,5
TGA-PF;2012123457;6,0
FFT-PF;2012343434;7,7
FFT-PF;2013888888;9,0
FFT-PF;2013000001;4,0
