Avaliação;Aluno(s);Nota
ECO1-P1;20100110;10
ECO1-P1;20100111;2
ECO1-P1;20100112;3
ECO1-P1;20100114;2,5
ECO1-P1;20100115;3
ECO1-P1;20100130;10
ECO1-P1;20100116;9,5
ECO1-P1;20100117;8
ECO1-P1;20100118;6
ECO1-P1;20111002;6,4
ECO1-P1;20122002;6
ECO1-P1;20131052;4,3
ECO1-T1;20100110, 20100111, 20100112;6
ECO1-T1;20100114, 20100130, 20100116;5
ECO1-T1;20100117, 20122002, 20100115;7
ECO1-T1;20131052, 20111002, 20100118;8
ECO1-T2;20100110, 20100111, 20100112, 20131052;10
ECO1-T2;20100114, 20100130, 20100116, 20111002;9
ECO1-T2;20100117, 20122002, 20100115, 20100118;10
ECO1-PF;20100111;6
ECO1-PF;20100112;2
ECO1-PF;20100114;5
ECO1-PF;20100115;10
ECO1-PF;20131052;9
ECO2-P1;20111003;10
ECO2-P1;20111004;7
ECO2-P1;20122001;6
ECO2-P1;20122002;8,5
ECO2-P1;20122003;9,6
ECO2-P1;20131033;5,2
ECO2-P1;20131034;4,2
ECO2-P1;20131052;0
ECO2-P1;20140112;0
ECO2-P1;20151002;3,2
ECO2-P1;20100114;6
ECO2-P1;20100115;10
ECO2-P1;20100130;9,5
ECO2-P1;20100116;4
ECO2-P2;20111003;5,5
ECO2-P2;20111004;10
ECO2-P2;20122001;8
ECO2-P2;20122002;6
ECO2-P2;20122003;7
ECO2-P2;20131033;9,2
ECO2-P2;20131034;3,5
ECO2-P2;20131052;7
ECO2-P2;20140112;8
ECO2-P2;20151002;9,5
ECO2-P2;20100114;9,6
ECO2-P2;20100115;8,5
ECO2-P2;20100130;8,6
ECO2-P2;20100116;8,4
ECO2-PF;20131034;7
ECO2-PF;20131052;6,5
ECO2-PF;20140112;5
ECO2-PF;20151002;2
ECO2-PF;20100116;6,5
